Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
avg_A_jc_mean  0.9933+-0.0015  0.7347+-0.0204
min_A_aa       0.9921+-0.0008  0.5082+-0.0061
avg_A_jc       0.9916+-0.0002  0.7302+-0.0143
min_A_jc_mean  0.9912+-0.0034   0.509+-0.0069
min_A_jc       0.9902+-0.0019   0.509+-0.0069
min_A_cn       0.9889+-0.0006  0.5084+-0.0063
min_A_aa_mean  0.9878+-0.0022  0.5082+-0.0069
max_A_jc_mean  0.9855+-0.0018  0.7539+-0.0216
min_A_cn_mean  0.9837+-0.0016  0.5084+-0.0071
max_A_jc       0.9835+-0.0003  0.7422+-0.0141
avg_A_aa       0.9719+-0.0006  0.7045+-0.0188
avg_A_cn       0.9679+-0.0005  0.6984+-0.0188
avg_A_aa_mean  0.9672+-0.0001  0.7008+-0.0249
min_A_jc_      0.9603+-0.0061  0.5094+-0.0065
avg_A_cn_mean  0.9591+-0.0004  0.6935+-0.0241
avg_A_jc_      0.9433+-0.0063  0.7237+-0.0273
min_A_aa_      0.9425+-0.0051  0.5078+-0.0073
min_A_cn_      0.9365+-0.0028  0.5078+-0.0073
max_A_aa        0.9336+-0.002  0.7014+-0.0124
max_A_cn       0.9199+-0.0021   0.6933+-0.021
max_A_aa_mean   0.911+-0.0044  0.6965+-0.0447
avg_A_aa_      0.8969+-0.0073  0.6841+-0.0335
max_A_cn_mean   0.8923+-0.004  0.6802+-0.0382
avg_A_cn_      0.8815+-0.0065  0.6786+-0.0316
max_A_jc_      0.8793+-0.0151  0.7182+-0.0349
max_A_aa_      0.8037+-0.0147   0.661+-0.0533
max_A_cn_      0.7897+-0.0132  0.6514+-0.0478
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
