Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_jc_mean  0.9069+-0.0003  0.4756+-0.0021
min_A_aa          0.8442+-0.0  0.4534+-0.0071
avg_A_jc_mean  0.8319+-0.0033  0.6624+-0.0049
min_A_cn          0.8261+-0.0  0.4516+-0.0083
min_A_aa_mean  0.8229+-0.0005   0.4525+-0.003
avg_A_jc       0.8089+-0.0006   0.655+-0.0143
min_A_cn_mean  0.8045+-0.0003  0.4504+-0.0035
min_A_jc       0.7954+-0.0013  0.4644+-0.0035
max_A_jc       0.7739+-0.0009  0.6788+-0.0046
min_A_aa_      0.7668+-0.0003   0.4488+-0.002
min_A_cn_      0.7521+-0.0002   0.447+-0.0023
min_A_jc_         0.7443+-0.0  0.4554+-0.0063
max_A_jc_mean     0.7284+-0.0   0.6546+-0.004
avg_A_jc_      0.6995+-0.0018  0.6037+-0.0133
avg_A_aa       0.6744+-0.0012  0.5537+-0.0105
max_A_jc_      0.6575+-0.0024  0.6434+-0.0135
avg_A_cn       0.6542+-0.0016  0.5454+-0.0099
avg_A_aa_mean  0.6513+-0.0013  0.5497+-0.0074
avg_A_cn_mean  0.6365+-0.0014   0.5436+-0.007
avg_A_aa_      0.6147+-0.0025  0.5389+-0.0036
avg_A_cn_      0.6071+-0.0025  0.5363+-0.0027
max_A_aa       0.5742+-0.0045  0.5316+-0.0083
max_A_aa_mean  0.5648+-0.0052  0.5274+-0.0031
max_A_cn       0.5637+-0.0045  0.5249+-0.0075
max_A_aa_      0.5632+-0.0055   0.538+-0.0014
max_A_cn_      0.5595+-0.0054   0.5367+-0.002
max_A_cn_mean  0.5575+-0.0053  0.5231+-0.0028
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
