Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
Calculating LP scores for train pairs...
Calculating LP scores for test pairs...
                        train            test
min_A_jc_mean  0.6823+-0.0106  0.4117+-0.0283
min_A_aa_      0.6158+-0.0114  0.3664+-0.0306
min_A_aa_mean  0.6116+-0.0073  0.3911+-0.0324
min_A_cn_mean   0.607+-0.0075  0.3913+-0.0324
min_A_cn_      0.6061+-0.0107  0.3629+-0.0298
min_A_aa       0.5975+-0.0061  0.3929+-0.0312
min_A_cn       0.5927+-0.0063  0.3942+-0.0317
max_A_jc_      0.5728+-0.0035  0.5474+-0.0046
avg_A_jc_mean   0.565+-0.0089  0.4869+-0.0051
avg_A_jc_      0.5619+-0.0044  0.4665+-0.0003
min_A_jc       0.5533+-0.0073  0.4197+-0.0418
max_A_jc       0.5444+-0.0036  0.5133+-0.0063
avg_A_jc       0.5382+-0.0057  0.4897+-0.0069
avg_A_aa_      0.5347+-0.0089  0.4322+-0.0119
max_A_jc_mean  0.5326+-0.0046  0.5098+-0.0055
avg_A_cn_      0.5274+-0.0086  0.4308+-0.0114
min_A_jc_      0.5261+-0.0087  0.3335+-0.0015
avg_A_aa_mean  0.5211+-0.0075  0.4654+-0.0079
avg_A_cn_mean  0.5197+-0.0076  0.4645+-0.0078
avg_A_aa       0.5178+-0.0066  0.4683+-0.0103
avg_A_cn       0.5166+-0.0065    0.4679+-0.01
max_A_aa       0.5102+-0.0033   0.482+-0.0122
max_A_cn       0.5097+-0.0033  0.4817+-0.0119
max_A_aa_mean   0.5086+-0.004  0.4818+-0.0096
max_A_cn_mean  0.5075+-0.0041  0.4811+-0.0089
B_cn                 0.5+-0.0        0.5+-0.0
B_cn_                0.5+-0.0        0.5+-0.0
B_cn_mean            0.5+-0.0        0.5+-0.0
B_jc                 0.5+-0.0        0.5+-0.0
B_jc_                0.5+-0.0        0.5+-0.0
B_jc_mean            0.5+-0.0        0.5+-0.0
B_aa                 0.5+-0.0        0.5+-0.0
B_aa_                0.5+-0.0        0.5+-0.0
B_aa_mean            0.5+-0.0        0.5+-0.0
max_A_aa_      0.4993+-0.0081  0.4843+-0.0157
max_A_cn_      0.4956+-0.0078  0.4854+-0.0155
